ปริมาณฝน(มิลลิเมตร) ราย 3 ชั่วโมง เฉลี่ย 2 สถานี ปี 2022-2024,,,,,,,,,,,,,
ที่,วันที่,วันที่,,,เวลาทำการตรวจ,,,,,,,,รวม
,,วัน,เดือน,ปี,0100,0400,0700,1000,1300,1600,1900,2200,
86,27/3/2022,27,3,2022,0,0,0,0,0,0.15,0,0,0.15
87,28/3/2022,28,3,2022,0,0,0,0,0,0,0,0,0
88,29/3/2022,29,3,2022,2.7,1.3,0,0,0,0,0,0,4
89,30/3/2022,30,3,2022,0,6.2,0,0,0,0,0,0,6.2
90,31/3/2022,31,3,2022,0,0,0,0,0,0,0,0,0
91,1/4/2022,1,4,2022,0,0,0,0,0,0,0,0,0
92,2/4/2022,2,4,2022,0,0,0,0,0,0,0,0,0
93,3/4/2022,3,4,2022,0,0,0,1.95,0,0,0,0,1.95
94,4/4/2022,4,4,2022,0,0,0,0,0,0,0,0,0
95,5/4/2022,5,4,2022,0,0,0,0,0,0,0,0,0
96,6/4/2022,6,4,2022,0,0,0,0,0,0,0,0,0
97,7/4/2022,7,4,2022,0,0,0,0,0,0,0,0,0
98,8/4/2022,8,4,2022,0,0,0,0,0,0,0,0,0
99,9/4/2022,9,4,2022,0,0,0,0,0,0,0,0,0
100,10/4/2022,10,4,2022,0,0,0,0,0,0,0,0,0
101,11/4/2022,11,4,2022,0,0,0,0,0,0.1,0,0,0.1
102,12/4/2022,12,4,2022,0,0,0,0,0,0,0,0,0
103,13/4/2022,13,4,2022,0,0,0,0,0,0,0,0,0
104,14/4/2022,14,4,2022,0,0,0,0,0,0,0,0,0
105,15/4/2022,15,4,2022,0,0,0,0,0,0,0,0,0
106,16/4/2022,16,4,2022,0,0,0,0,0,0,0,0,0
107,17/4/2022,17,4,2022,0,0,0,0,0,0,0.8,0,0.8
108,18/4/2022,18,4,2022,0,0,0,0,0,0,27.8,4.1,31.9
109,19/4/2022,19,4,2022,0.1,0,0,0,0,0,0,0,0.1
110,20/4/2022,20,4,2022,0,0,0,0,0,0,0,0,0
111,21/4/2022,21,4,2022,0,0,0,4.4,8,0,0,0,12.4
112,22/4/2022,22,4,2022,0,0,0,0,2.2,2,0,0,4.2
113,23/4/2022,23,4,2022,0,0,0,0,0,0.05,0,0,0.05
114,24/4/2022,24,4,2022,0,0,0,0,0,0.1,0,0,0.1
115,25/4/2022,25,4,2022,0,0,0,0,0,0,0,0,0
116,26/4/2022,26,4,2022,0,0,0,0,4.1,0,0,0,4.1
117,27/4/2022,27,4,2022,0,0,0,0,0,0,0,0,0
118,28/4/2022,28,4,2022,0,0,0,0,0,0.1,0.05,12.15,12.3
119,29/4/2022,29,4,2022,5.9,1.2,0,0,0,0,0,0,7.1
120,30/4/2022,30,4,2022,0,0,0,0,0,0,0,0,0
121,1/5/2022,1,5,2022,0,0,3.75,9.5,0.1,0,0,0,13.35
122,2/5/2022,2,5,2022,0,11,2.35,0,0,0,0,0,13.35
123,3/5/2022,3,5,2022,0,0,0,0,0,0,0,0,0
124,4/5/2022,4,5,2022,0,0,0,0,0,0,0,0,0
125,5/5/2022,5,5,2022,0,0,0,0,0,0,0,0,0
126,6/5/2022,6,5,2022,0,0,0,0,0,0,8.5,0.1,8.6
127,7/5/2022,7,5,2022,0,0,0,0,0,27.95,1.45,0,29.4
128,8/5/2022,8,5,2022,0,0,0,0,0,0.15,0.3,0.1,0.55
129,9/5/2022,9,5,2022,0,0,0,0,0,17.7,2.65,0,20.35
130,10/5/2022,10,5,2022,14.3,0.1,0.1,0,15.8,0,0,0,30.3
131,11/5/2022,11,5,2022,0,0,0,0.8,0.3,0,0,0,1.1
132,12/5/2022,12,5,2022,0,0,0,0,0,0,0,0,0
133,13/5/2022,13,5,2022,0,0,0,0,0,0,0,0,0
134,14/5/2022,14,5,2022,0,0,0,0,0,0,0,0,0
135,15/5/2022,15,5,2022,0,0,0,0,0,0,0,0,0
136,16/5/2022,16,5,2022,0,0,0,0,0,0,0.7,0.1,0.8
137,17/5/2022,17,5,2022,0,0,0,0,0,0,8,10.9,18.9
138,18/5/2022,18,5,2022,41.05,2.25,0.05,0,0,2.3,0.9,0.15,46.7
139,19/5/2022,19,5,2022,0,0,0,0,1.7,0,0,0,1.7
140,20/5/2022,20,5,2022,0,0,0,0,0,0,0,0,0
141,21/5/2022,21,5,2022,0,0,0,0,0.15,0,1.6,0,1.75
142,22/5/2022,22,5,2022,0,0,0,0,0,0,0,0,0
143,23/5/2022,23,5,2022,0,0,0,0,0,0,0,0,0
144,24/5/2022,24,5,2022,0,0,0,0,0,0,3.7,0,3.7
145,25/5/2022,25,5,2022,0,0,0,0,0,0,0,15.9,15.9
146,26/5/2022,26,5,2022,0.7,0,0,0,0,0,0,0,0.7
147,27/5/2022,27,5,2022,0,0,0,0,0,0,0,0,0
148,28/5/2022,28,5,2022,0,0,0,0,0,0,0.5,0,0.5
149,29/5/2022,29,5,2022,0,0,0,0,0,0,0,0,0
150,30/5/2022,30,5,2022,0,0,0,0,0,0,0,0,0
151,31/5/2022,31,5,2022,0,0,0,0,0,0,21.6,0.1,21.7
152,1/6/2022,1,6,2022,0,0,0,0,0,0,0,0,0
153,2/6/2022,2,6,2022,0,0,0,0,0,0,0,0,0
154,3/6/2022,3,6,2022,0,0,6.6,3.8,0,0,0,0,10.4
155,4/6/2022,4,6,2022,0,0,0,0,0,0,0,0,0
156,5/6/2022,5,6,2022,0,0,0.05,0,0,0,0,0,0.05
157,6/6/2022,6,6,2022,1.95,0.25,0,0,0,0,0,0,2.2
158,7/6/2022,7,6,2022,0,0,0,0,0,0,0,0,0
159,8/6/2022,8,6,2022,0,0,0,0,0,0,0.3,0,0.3
160,9/6/2022,9,6,2022,0,0,0,0,0,0,0,0.4,0.4
161,10/6/2022,10,6,2022,0,0,0,0,0,0,18.8,19.25,38.05
162,11/6/2022,11,6,2022,0,0,0,0,0,0,0,0,0
163,12/6/2022,12,6,2022,0,0,0,0,0,0,0,0,0
164,13/6/2022,13,6,2022,0,0,0,0,0,0.9,0.6,0,1.5
165,14/6/2022,14,6,2022,0,0,0,0.2,0.1,0.9,0,0,1.2
166,15/6/2022,15,6,2022,0,0,0,13,3.3,2.5,0.1,0,18.9
167,16/6/2022,16,6,2022,0,0,0,0,0,0,0,0,0
168,17/6/2022,17,6,2022,0,0,0,2,0,0,0,0,2
169,18/6/2022,18,6,2022,0,0.1,0,0,0,0,0,0,0.1
170,19/6/2022,19,6,2022,0,0,0,0,0,0,0,0.5,0.5
171,20/6/2022,20,6,2022,0,0,0,0,0,0,0,8.4,8.4
172,21/6/2022,21,6,2022,8.45,0,0,0,0,0,0,0.2,8.65
173,22/6/2022,22,6,2022,0,0,0,0,0,0,0,0.15,0.15
